Rooms_Number;District;Street;House_Number;Metro;Metro_m;Stor;Storeys;Wall;Space_Total;Space_Living;Cost_KV;Date_Postr;Date_Create
1;Заельцовский;Красный проспект;181;Заельцовская;2890;13;17;Кирпич;54.1;18;50831.7929759704;2010;21.04.2009
1;Заельцовский;Красный проспект;181;Заельцовская;2890;10;17;Кирпич;54.5;18;52000;2010;17.08.2009
1;Центральный;Красный проспект;181;Заельцовская;2830;8;17;Кирпич;37;20;87837.8378378378;2008;27.09.2016
1;Центральный;Красный проспект;181;Заельцовская;2830;2;17;Кирпич;42;17;90238.0952380952;2008;28.07.2018
1;Центральный;Красный проспект;181;Заельцовская;2830;13;17;Кирпич;28;14;110714.285714286;2008;23.06.2017
2;Заельцовский;Красный проспект;181;Заельцовская;2890;1;17;Кирпич;59;36;83050.8474576271;2010;10.03.2015
