Rooms_Number;Object_Type;Settlement;District;Street;House_Number;Metro;Metro_m;Space_Total;Lat;Long;Date_Postr
1;Хрущевка;Новосибирск;Первомайский;Маяковского;24;Речной вокзал;11260;30.50;54.9738;83.086;1971
1;Типовая;Новосибирск;Первомайский;Звездная;14;Речной вокзал;12130;28.90;54.9551;83.0681;1974
1;Типовая;Новосибирск;Центральный;Лермонтова;36;Сибирская;438;31.90;55.0446;82.9267;1973
2;Хрущевка;Новосибирск;Центральный;Достоевского;20;Сибирская;312;44.70;55.0456;82.9192;1964
2;Улучшенной планировки;Новосибирск;Советский;Демакова;12;Речной вокзал;23340;49.00;54.8634;83.1041;1989
3;Улучшенной планировки;Новосибирск;Советский;Демакова;6;Речной вокзал;23490;65.00;54.8627;83.1009;1997
3;Улучшенной планировки;Новосибирск;Первомайский;Твардовского;22;Речной вокзал;19300;48.30;54.9343;83.1215;2014
1;Хрущевка;Новосибирск;Первомайский;Твардовского;12;Речной вокзал;17910;29.30;54.9383;83.126;1977
