Rooms_Number;Object_Type;Settlement;District;Street;House_Number;Metro;Metro_m;Space_Total;Date_Postr
1;Хрущевка;Новосибирск;Первомайский;Маяковского;24;Речной вокзал;11260;30.50;1971
1;Типовая;Новосибирск;Первомайский;Звездная;14;Речной вокзал;12130;28.90;1974
1;Типовая;Новосибирск;Центральный;Лермонтова;36;Сибирская;438;31.90;1973
2;Хрущевка;Новосибирск;Центральный;Достоевского;20;Сибирская;312;44.70;1964
2;Улучшенной планировки;Новосибирск;Советский;Демакова;12;Речной вокзал;23340;49.00;1989
3;Улучшенной планировки;Новосибирск;Советский;Демакова;6;Речной вокзал;23490;65.00;1997
3;Улучшенной планировки;Новосибирск;Первомайский;Твардовского;22;Речной вокзал;19300;48.30;2014
1;Хрущевка;Новосибирск;Первомайский;Твардовского;12;Речной вокзал;17910;29.30;1977
